canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value
CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)cnc2OCC2(O)CCCC2)cc1,CHEMBL45583,nM,1400.0,uM,1.4
CC(C)(O)CSc1ncc(C(F)(F)F)cc1-c1ccc(S(C)(=O)=O)cc1,CHEMBL300710,nM,700.0,uM,0.7
Cc1ccc(N2CC(c3ccc(S(C)(=O)=O)cc3)=C(c3ccccc3)C2=O)cc1,CHEMBL48758,nM,1000.0,uM,1.0
CS(=O)(=O)c1ccc(-c2snnc2-c2ccc(F)cc2)cc1,CHEMBL368409,nM,6500.0,uM,6.5
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)C(=O)N(c3ccccc3)C2)cc1,CHEMBL298356,nM,310.0,uM,0.31
COc1ccc(N2CC(c3ccc(S(C)(=O)=O)cc3)=C(c3ccc(F)cc3)C2=O)cc1,CHEMBL49606,nM,1200.0,uM,1.2
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,410.0,uM,0.41
CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,CHEMBL340573,nM,3.0,uM,0.003
CS(=O)(=O)c1ccc(C2=C(c3ccc4c(c3)OCO4)CCC2)cc1,CHEMBL405623,nM,21.0,uM,0.021
CS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(F)cc2)cc1,CHEMBL274990,nM,50.0,uM,0.05
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,CHEMBL7162,nM,100.0,uM,0.1
CCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL99199,nM,50.0,uM,0.05
CCOc1cccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)c1,CHEMBL319766,nM,650.0,uM,0.65
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CCC2)cc1,CHEMBL111590,nM,3.0,uM,0.003
COc1ccc2c(c1)c(CC(=O)OCCN1CCOCC1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97040,nM,680.0,uM,0.68
COC(=O)[C@H](C)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL2112399,nM,190.0,uM,0.19
COc1ccc2c(c1)c(CC(=O)N[C@@H](C)c1ccc(C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL319578,nM,200.0,uM,0.2
COc1ccc2c(c1)c(CC(=O)Nc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL329480,nM,52.0,uM,0.052
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,CHEMBL111321,nM,2.0,uM,0.002
CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,CHEMBL42485,nM,10.0,uM,0.01
CCCCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL97411,nM,90.0,uM,0.09
COc1ccc2c(c1)c(CC(=O)Nc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95469,nM,120.0,uM,0.12
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,CHEMBL111562,nM,2.0,uM,0.002
NS(=O)(=O)c1ccc(C2=C(c3cc(F)c(F)c(F)c3)CCC2)cc1,CHEMBL336011,nM,2900.0,uM,2.9
CCCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL330194,nM,40.0,uM,0.04
CCCCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL100092,nM,60.0,uM,0.06
COc1ccc2c(c1)c(CC(=O)NCCO)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL24415,nM,250.0,uM,0.25
COc1ccc2c(c1)c(CC(=O)NCc1ccc(C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL317332,nM,60.0,uM,0.06
CCn1nccc1NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL317321,nM,700.0,uM,0.7
COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccc(Br)cc1,CHEMBL320140,nM,2500.0,uM,2.5
CN(C)c1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL109623,nM,5.0,uM,0.005
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,CHEMBL108201,nM,0.5,uM,0.0005
CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CCC2)cc1,CHEMBL109030,nM,870.0,uM,0.87
COc1ccc2c(c1)c(CC(=O)OC1CCCCC1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL318410,nM,120.0,uM,0.12
CCCC/C=C/COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL95989,nM,50.0,uM,0.05
CCCCCCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL100331,nM,40.0,uM,0.04
COc1ccc2c(c1)c(CC(=O)Nc1ccc(SC)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL96011,nM,120.0,uM,0.12
Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1,CHEMBL127674,nM,3.0,uM,0.003
COc1ccc2c(c1)c(CC(=O)Nc1cncc(Cl)c1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL98514,nM,47.0,uM,0.047
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL111095,nM,9.0,uM,0.009
COc1ccc2c(c1)c(CC(=O)Nc1ccc(Cl)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL265078,nM,55.0,uM,0.055
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,900.0,uM,0.9
CCN(CC)C(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL327510,nM,25000.0,uM,25.0
CCC#CCC(C)OC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL318053,nM,120.0,uM,0.12
COc1ccc2c(c1)c(CC(=O)OCCNC(=O)OC(C)(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL433160,nM,45.0,uM,0.045
NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,CHEMBL110846,nM,170.0,uM,0.17
COc1ccc2c(c1)c(CC(=O)Nc1cnccn1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL94944,nM,4000.0,uM,4.0
CS(=O)(=O)Nc1cc2c(cc1Sc1ccc(F)cc1F)C(=O)CC2,CHEMBL287919,nM,20.0,uM,0.02
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,CHEMBL111657,nM,51.0,uM,0.051
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,CHEMBL322949,nM,30.0,uM,0.03
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,750.0,uM,0.75
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,CHEMBL265562,nM,7.0,uM,0.007
COc1ccc2c(c1)c(CC(=O)OC(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL329052,nM,250.0,uM,0.25
COc1ccc2c(c1)c(CC(=O)Nc1cccnc1Cl)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL319148,nM,50.0,uM,0.05
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CCC2)cc1,CHEMBL111787,nM,18.0,uM,0.018
COc1c(Cl)cc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL321643,nM,9.0,uM,0.009
COc1ccc(OC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)cc1,CHEMBL316866,nM,40.0,uM,0.04
COc1ccc2c(c1)c(CC(=O)Nc1ccc(C(N)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL327751,nM,140.0,uM,0.14
COc1ccc2c(c1)c(CC(=O)NOCc1ccc([N+](=O)[O-])cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL319359,nM,60.0,uM,0.06
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL324863,nM,140.0,uM,0.14
CNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL318495,nM,700.0,uM,0.7
COC(=O)Cc1ccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)cc1,CHEMBL95558,nM,58.0,uM,0.058
COc1ccc2c(c1)c(CC(=O)Nc1cc(C)c(C(=O)Nc3ccccc3)cc1OC)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97219,nM,600.0,uM,0.6
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1F,CHEMBL111427,nM,16.0,uM,0.016
COc1ccc2c(c1)c(CC(=O)NCCOC(=O)/C=C/c1ccc(N(C)C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95380,nM,190.0,uM,0.19
COc1ccc2c(c1)c(CC(=O)Nc1ncc(C)s1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97808,nM,4000.0,uM,4.0
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1F,CHEMBL111314,nM,120.0,uM,0.12
CN(C)c1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL111356,nM,2.0,uM,0.002
COc1ccc2c(c1)c(CC(=O)NCCCCl)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL319764,nM,50.0,uM,0.05
COC(=O)CNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL95508,nM,4000.0,uM,4.0
COc1ccc2c(c1)c(CC(=O)NCc1ccccc1C)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95572,nM,150.0,uM,0.15
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,CHEMBL111786,nM,10.0,uM,0.01
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,CHEMBL274893,nM,26.0,uM,0.026
COc1ccc2c(c1)c(CC(=O)Oc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97562,nM,50.0,uM,0.05
COc1ccc2c(c1)c(CC(=O)NOCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL421385,nM,50.0,uM,0.05
COc1ccc2c(c1)c(CC(=O)Nc1ccc(-c3ccccc3)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL329292,nM,500.0,uM,0.5
CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,CHEMBL323732,nM,760.0,uM,0.76
COc1ccc2c(c1)c(CC(=O)Oc1ccc(SC)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL96057,nM,300.0,uM,0.3
COc1ccc(NC(=O)Cc2c(C)n(C(=O)c3ccc(Cl)cc3)c3ccc(OC)cc23)cc1,CHEMBL97846,nM,56.0,uM,0.056
NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CCC2)cc1,CHEMBL111057,nM,150.0,uM,0.15
CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL328864,nM,100.0,uM,0.1
COc1ccc2c(c1)c(CC(=O)N[C@H](C)c1ccc(C)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL318206,nM,60.0,uM,0.06
COc1ccc2c(c1)c(CC(=O)Nc1ccc(F)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL421570,nM,60.0,uM,0.06
CCCCC#CCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL95988,nM,250.0,uM,0.25
COc1ccc2c(c1)c(CC(=O)Oc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL319825,nM,400.0,uM,0.4
COc1ccc2c(c1)c(CC(=O)Oc1cccc3ccccc13)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97088,nM,5000.0,uM,5.0
COc1ccc2c(c1)c(CC(=O)Oc1cccnc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL96954,nM,50.0,uM,0.05
CCCCCCCCCNC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL95402,nM,40.0,uM,0.04
COc1ccc2c(c1)c(CC(=O)NNCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95659,nM,2500.0,uM,2.5
COc1ccc2c(c1)c(CC(=O)Oc1ccccc1SC)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95625,nM,60.0,uM,0.06
COc1ccc2c(c1)c(CC(=O)N(C)C)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97834,nM,18000.0,uM,18.0
COc1ccc2c(c1)c(CC(=O)NCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95311,nM,60.0,uM,0.06
COc1ccc2c(c1)c(CC(N)=O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95921,nM,700.0,uM,0.7
COc1ccc2c(c1)c(CC(=O)NCc1ccc(C(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL330162,nM,80.0,uM,0.08
COc1ccc2c(c1)c(CC(=O)Nc1cccc(SC)c1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL330381,nM,220.0,uM,0.22
NS(=O)(=O)c1ccc(C2=C(c3ccc4c(c3)OCO4)CCC2)cc1,CHEMBL424063,nM,2.0,uM,0.002
COc1c(Cl)cc(C2=C(c3ccc(S(C)(=O)=O)cc3)CCC2)cc1Cl,CHEMBL321160,nM,17.0,uM,0.017
CCCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL97179,nM,50.0,uM,0.05
COc1ccc2c(c1)c(CC(=O)OCCc1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95643,nM,40.0,uM,0.04
COc1ccc2c(c1)c(CC(=O)OCCC1CCCCC1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL95479,nM,1000.0,uM,1.0
CCCCOCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL100091,nM,60.0,uM,0.06
COc1ccc2c(c1)c(CC(=O)Oc1ccc(F)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL318881,nM,75.0,uM,0.075
COC(=O)[C@@H](C)NC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL2111594,nM,400.0,uM,0.4
CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CCC2)cc1,CHEMBL111597,nM,10.0,uM,0.01
COC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL73572,nM,250.0,uM,0.25
CCCOC(=O)Cc1c(C)n(C(=O)c2ccc(Cl)cc2)c2ccc(OC)cc12,CHEMBL99933,nM,100.0,uM,0.1
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122,nM,1.0,uM,0.001
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,CHEMBL154,nM,9700.0,uM,9.7
CS(=O)(=O)c1ccc(-c2[nH]c(Cl)c(Cl)c2-c2ccc(F)cc2)cc1,CHEMBL338914,nM,69000.0,uM,69.0
CN1CC(c2ccc(F)cc2)=C(c2ccccc2)O1,CHEMBL319326,nM,5380.0,uM,5.38
CC(C)Cc1ccc(C(C)C(=O)O)cc1,CHEMBL521,nM,8000.0,uM,8.0
CS(=O)(=O)c1ccc(-c2[nH]c(Br)cc2-c2ccc(F)cc2)cc1,CHEMBL126418,nM,40000.0,uM,40.0
CS(=O)(=O)c1ccc(-c2[nH]c(I)cc2-c2ccc(F)cc2)cc1,CHEMBL127120,nM,92300.0,uM,92.3
CN1CC(c2ccccc2)=C(c2ccc(F)cc2)O1,CHEMBL319590,nM,4960.0,uM,4.96
CC1C(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,CHEMBL322240,nM,31.6,uM,0.0316
CS(=O)(=O)c1ccc(-c2[nH]c([N+](=O)[O-])cc2-c2ccc(F)cc2)cc1,CHEMBL339890,nM,63000.0,uM,63.0
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,CHEMBL101,nM,284000.0,uM,284.0
CS(=O)(=O)c1ccc(-c2[nH]ccc2-c2ccc(F)cc2)cc1,CHEMBL339301,nM,12670.0,uM,12.67
CS(=O)(=O)c1ccc(-c2[nH]c(Cl)cc2-c2ccc(F)cc2)cc1,CHEMBL340717,nM,42000.0,uM,42.0
CS(=O)(=O)c1ccc(-c2[nH]c(SC#N)cc2-c2ccc(F)cc2)cc1,CHEMBL126345,nM,72000.0,uM,72.0
CN1CC(c2ccc(S(C)(=O)=O)cc2)=C(c2ccccc2)O1,CHEMBL98193,nM,5380.0,uM,5.38
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1OC1CCCCC1,CHEMBL7162,nM,1.0,uM,0.001
CS(=O)(=O)c1ccc(-c2noc(C(F)(F)F)c2-c2ccccc2)cc1,CHEMBL97943,nM,1000.0,uM,1.0
CSc1cc(-c2ccc(F)cc2)c(-c2ccc(S(C)(=O)=O)cc2)[nH]1,CHEMBL341298,nM,34500.0,uM,34.5
CS(=O)(=O)c1ccc(-c2[nH]c(C#N)cc2-c2ccc(F)cc2)cc1,CHEMBL419777,nM,64400.0,uM,64.4
CS(=O)(=O)c1ccc(-n2nc(CO)cc2-c2ccccc2)cc1,CHEMBL166156,nM,10000.0,uM,10.0
CS(=O)(=O)c1ccc(-c2[nH]c(S(C)(=O)=O)cc2-c2ccc(F)cc2)cc1,CHEMBL338126,nM,92300.0,uM,92.3
CC(=O)Oc1ccccc1C(=O)O,CHEMBL25,nM,18000000.0,uM,18000.0
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL118,nM,56.7,uM,0.0567
CS(=O)(=O)c1ccc(-c2[nH]c(Cl)c(Br)c2-c2ccc(F)cc2)cc1,CHEMBL339221,nM,88000.0,uM,88.0
COC1(c2cc(F)cc(OCc3cc(-c4ccccc4)n(-c4ccc(S(C)(=O)=O)cc4)n3)c2)CCOCC1,CHEMBL423638,nM,50.0,uM,0.05
Cn1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,CHEMBL129861,nM,35500.0,uM,35.5
Cn1ccc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,CHEMBL129308,nM,20000.0,uM,20.0
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,CHEMBL527,nM,218000.0,uM,218.0
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6,nM,180000.0,uM,180.0
CS(=O)(=O)c1ccc(-c2[nH]c(C(=O)C(F)(F)F)cc2-c2ccc(F)cc2)cc1,CHEMBL127642,nM,298200.0,uM,298.2
Cn1c(Cl)c(Cl)c(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,CHEMBL127494,nM,25000.0,uM,25.0
CC(=O)n1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,CHEMBL126808,nM,300000.0,uM,300.0
Cn1c(Br)c(Br)c(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,CHEMBL127203,nM,55670.0,uM,55.67
CC1C(c2ccccc2)=C(c2ccc(S(C)(=O)=O)cc2)ON1C,CHEMBL444805,nM,4.2,uM,0.0042
CS(=O)(=O)c1ccc(-c2cscc2-c2ccc(F)cc2)cc1,CHEMBL319306,nM,80.0,uM,0.08
CC[C@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL443278,nM,400.0,uM,0.4
CS(=O)(=O)c1ccc(-c2cc(Br)sc2-c2ccc(F)cc2)cc1,CHEMBL42485,nM,14.0,uM,0.014
CC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(CC(F)(F)F)OC1=O,CHEMBL325442,nM,1300.0,uM,1.3
NS(=O)(=O)c1ccc(-c2cscc2-c2ccc(F)cc2)cc1,CHEMBL316823,nM,8.0,uM,0.008
COc1ccc(-c2cscc2-c2ccc(S(N)(=O)=O)cc2)cc1F,CHEMBL97874,nM,9.0,uM,0.009
CS(=O)(=O)c1ccc(-c2csc(Br)c2-c2ccc(F)cc2)cc1,CHEMBL328837,nM,15.0,uM,0.015
COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL98903,nM,50.0,uM,0.05
CC(C)OC1=C(c2ccc(S(C)(=O)=O)cc2)C(C)(C)OC1=O,CHEMBL10345,nM,300.0,uM,0.3
COc1ccc(-c2cscc2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL100422,nM,30.0,uM,0.03
CS(=O)(=O)c1ccc(-c2c(Br)sc(Br)c2-c2ccc(F)cc2)cc1,CHEMBL319072,nM,700.0,uM,0.7
CC[C@@]1(C)OC(=O)C(OC(C)C)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL111904,nM,500.0,uM,0.5
COc1ccc2c(c1)c(Cc1nc(-c3ccc([N+](=O)[O-])cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL282415,nM,12.0,nM,12.0
COc1ccc2c(c1)c(Cc1nc(-c3ccc([N+](=O)[O-])cc3)cs1)c(C)n2C(=O)c1ccc(Br)cc1,CHEMBL26829,nM,7.0,nM,7.0
COc1ccc2c(c1)c(Cc1nc(-c3ccc(Br)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL423296,nM,0.3,nM,0.3
COc1ccc2c(c1)c(Cc1nc(-c3ccc4ccccc4c3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL282015,nM,7.0,nM,7.0
CCCCCCCCCCCCCCCc1cccc(O)c1CSc1nc2cc(OC)ccc2[nH]1,CHEMBL347705,nM,1000.0,uM,1.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCC3)C2)cc1,CHEMBL327900,nM,62.0,uM,0.062
CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,CHEMBL558340,nM,3.0,uM,0.003
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1F,CHEMBL88532,nM,2.0,uM,0.002
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)c(Cl)c3)CC3(CC3)C2)cc1,CHEMBL313387,nM,1.0,uM,0.001
Cc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,CHEMBL92102,nM,1.5,uM,0.0015
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1,CHEMBL89089,nM,5.0,uM,0.005
NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,CHEMBL314225,nM,3.0,uM,0.003
COc1ccc2c(c1)c(Cc1csc(N)n1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL24687,nM,390.0,nM,390.0
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,CHEMBL88899,nM,17.0,uM,0.017
CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2cc(C)ccc2[nH]1,CHEMBL161788,nM,2630.0,uM,2.63
COc1ccc(C2=CC3(C=C2c2ccc(S(C)(=O)=O)cc2)CC3)cc1Cl,CHEMBL89625,nM,27.0,uM,0.027
COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Br,CHEMBL86363,nM,13.0,uM,0.013
COc1ccc2c(c1)c(Cc1nc(-c3ccc(Cl)cc3)cs1)c(C)n2C(=O)c1ccc(Br)cc1,CHEMBL28220,nM,7.0,nM,7.0
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1,CHEMBL432945,nM,1.0,uM,0.001
CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2ccccc2o1,CHEMBL161619,nM,2770.0,uM,2.77
COc1ccc2c(c1)c(Cc1nc(-c3cccc(Br)c3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL24407,nM,8.0,nM,8.0
COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1Br,CHEMBL313313,nM,2.0,uM,0.002
CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3Cl)CC3(CC3)C2)cc1,CHEMBL91258,nM,33.0,uM,0.033
COc1c(Cl)cc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,CHEMBL315520,nM,6.0,uM,0.006
COc1c(Cl)cc(C2=C(c3ccc(S(N)(=O)=O)cc3)CC3(CC3)C2)cc1Cl,CHEMBL88493,nM,4.0,uM,0.004
COc1ccc2c(c1)c(Cc1nc(-c3csc4ccccc34)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL28155,nM,1.0,nM,1.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CCC2)cc1,CHEMBL274893,nM,2.6,uM,0.0026
NS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3)CC3(CC3)C2)cc1,CHEMBL88717,nM,1.0,uM,0.001
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122,nM,57.0,uM,0.057
COc1ccc2c(c1)c(Cc1nc(-c3ccc(Cl)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL27875,nM,14.0,nM,14.0
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,CHEMBL92107,nM,3.3,uM,0.0033
CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,CHEMBL92154,nM,8.0,uM,0.008
CCCCCCCCCCCCCCCc1cccc(OC)c1CSc1nc2ccccc2s1,CHEMBL158495,nM,1060.0,uM,1.06
COc1ccc2c(c1)c(Cc1nc(-c3ccc(C(=O)O)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL281513,nM,120.0,nM,120.0
